category,event_name,severity,details,date,ticker
F1,RSI extreme (control),2,ticker=TNX rsi=17.3,1987-06-22,TNX
F1,RSI extreme (control),2,ticker=TNX rsi=19.4,1987-06-23,TNX
F2,Bollinger Band breach (control),2,ticker=TNX bb_z=2.04,1987-07-15,TNX
F2,Bollinger Band breach (control),2,ticker=TNX bb_z=2.28,1987-07-21,TNX
F2,Bollinger Band breach (control),2,ticker=TNX bb_z=2.53,1987-07-22,TNX
F1,RSI extreme (control),2,ticker=TNX rsi=70.3,1987-07-23,TNX
F2,Bollinger Band breach (control),2,ticker=TNX bb_z=2.26,1987-07-23,TNX
F1,RSI extreme (control),2,ticker=TNX rsi=72.3,1987-07-24,TNX
F2,Bollinger Band breach (control),2,ticker=TNX bb_z=2.14,1987-07-24,TNX
F1,RSI extreme (control),2,ticker=TNX rsi=74.2,1987-07-27,TNX
F1,RSI extreme (control),2,ticker=TNX rsi=73.4,1987-07-28,TNX
F1,RSI extreme (control),2,ticker=TNX rsi=76.4,1987-07-30,TNX
F1,RSI extreme (control),2,ticker=TNX rsi=75.9,1987-07-31,TNX
F1,RSI extreme (control),2,ticker=TNX rsi=87.5,1987-08-03,TNX
F2,Bollinger Band breach (control),2,ticker=TNX bb_z=2.27,1987-08-03,TNX
F1,RSI extreme (control),2,ticker=TNX rsi=85.2,1987-08-04,TNX
F1,RSI extreme (control),2,ticker=TNX rsi=74.2,1987-08-05,TNX
F1,RSI extreme (control),2,ticker=TNX rsi=81.4,1987-08-06,TNX
F1,RSI extreme (control),2,ticker=TNX rsi=75.4,1987-08-07,TNX
F1,RSI extreme (control),2,ticker=TNX rsi=73.6,1987-08-10,TNX
F2,Bollinger Band breach (control),2,ticker=TNX bb_z=2.33,1987-08-27,TNX
F2,Bollinger Band breach (control),2,ticker=TNX bb_z=2.66,1987-08-28,TNX
F2,Bollinger Band breach (control),2,ticker=TNX bb_z=2.08,1987-08-31,TNX
F2,Bollinger Band breach (control),2,ticker=TNX bb_z=2.11,1987-09-01,TNX
F1,RSI extreme (control),2,ticker=TNX rsi=82.8,1987-09-02,TNX
F2,Bollinger Band breach (control),2,ticker=TNX bb_z=2.77,1987-09-02,TNX
F1,RSI extreme (control),2,ticker=TNX rsi=87.4,1987-09-03,TNX
F2,Bollinger Band breach (control),2,ticker=TNX bb_z=2.26,1987-09-03,TNX
