signal_date,signal_category,signal_event,signal_ticker,horizon_d,target_date,status,ret_pct_HYG,diff_VIX,ret_pct_SPY,ret_pct_QQQ,ret_pct_IWM,ret_pct_RSP,diff_VIX9D,diff_TNX
1987-06-22,F1,RSI extreme (control),TNX,1,1987-06-23,ready,,,,,,,,0.0
1987-06-22,F1,RSI extreme (control),TNX,5,1987-06-29,ready,,,,,,,,0.1100006103515625
1987-06-22,F1,RSI extreme (control),TNX,10,1987-07-07,ready,,,,,,,,0.05000019073486328
1987-06-22,F1,RSI extreme (control),TNX,15,1987-07-14,ready,,,,,,,,0.10000038146972656
1987-06-22,F1,RSI extreme (control),TNX,20,1987-07-21,ready,,,,,,,,0.26000022888183594
1987-06-23,F1,RSI extreme (control),TNX,1,1987-06-24,ready,,,,,,,,0.0800008773803711
1987-06-23,F1,RSI extreme (control),TNX,5,1987-06-30,ready,,,,,,,,0.15000057220458984
1987-06-23,F1,RSI extreme (control),TNX,10,1987-07-08,ready,,,,,,,,0.09000015258789062
1987-06-23,F1,RSI extreme (control),TNX,15,1987-07-15,ready,,,,,,,,0.20000076293945312
1987-06-23,F1,RSI extreme (control),TNX,20,1987-07-22,ready,,,,,,,,0.3100004196166992
1987-07-15,F2,Bollinger Band breach (control),TNX,1,1987-07-16,ready,,,,,,,,-0.020000457763671875
1987-07-15,F2,Bollinger Band breach (control),TNX,5,1987-07-22,ready,,,,,,,,0.1099996566772461
1987-07-15,F2,Bollinger Band breach (control),TNX,10,1987-07-29,ready,,,,,,,,0.17999935150146484
1987-07-15,F2,Bollinger Band breach (control),TNX,15,1987-08-05,ready,,,,,,,,0.2799997329711914
1987-07-15,F2,Bollinger Band breach (control),TNX,20,1987-08-12,ready,,,,,,,,0.28999996185302734
1987-07-21,F2,Bollinger Band breach (control),TNX,1,1987-07-22,ready,,,,,,,,0.05000019073486328
1987-07-21,F2,Bollinger Band breach (control),TNX,5,1987-07-28,ready,,,,,,,,0.13000011444091797
1987-07-21,F2,Bollinger Band breach (control),TNX,10,1987-08-04,ready,,,,,,,,0.32000064849853516
1987-07-21,F2,Bollinger Band breach (control),TNX,15,1987-08-11,ready,,,,,,,,0.23999977111816406
1987-07-21,F2,Bollinger Band breach (control),TNX,20,1987-08-18,ready,,,,,,,,0.23999977111816406
1987-07-22,F2,Bollinger Band breach (control),TNX,1,1987-07-23,ready,,,,,,,,0.020000457763671875
1987-07-22,F2,Bollinger Band breach (control),TNX,5,1987-07-29,ready,,,,,,,,0.06999969482421875
1987-07-22,F2,Bollinger Band breach (control),TNX,10,1987-08-05,ready,,,,,,,,0.1700000762939453
1987-07-22,F2,Bollinger Band breach (control),TNX,15,1987-08-12,ready,,,,,,,,0.18000030517578125
1987-07-22,F2,Bollinger Band breach (control),TNX,20,1987-08-19,ready,,,,,,,,0.23000049591064453
1987-07-23,F1,RSI extreme (control),TNX,1,1987-07-24,ready,,,,,,,,0.01999950408935547
1987-07-23,F1,RSI extreme (control),TNX,5,1987-07-30,ready,,,,,,,,0.049999237060546875
1987-07-23,F1,RSI extreme (control),TNX,10,1987-08-06,ready,,,,,,,,0.1699991226196289
1987-07-23,F1,RSI extreme (control),TNX,15,1987-08-13,ready,,,,,,,,0.06999969482421875
1987-07-23,F1,RSI extreme (control),TNX,20,1987-08-20,ready,,,,,,,,0.17999935150146484
1987-07-23,F2,Bollinger Band breach (control),TNX,1,1987-07-24,ready,,,,,,,,0.01999950408935547
1987-07-23,F2,Bollinger Band breach (control),TNX,5,1987-07-30,ready,,,,,,,,0.049999237060546875
1987-07-23,F2,Bollinger Band breach (control),TNX,10,1987-08-06,ready,,,,,,,,0.1699991226196289
1987-07-23,F2,Bollinger Band breach (control),TNX,15,1987-08-13,ready,,,,,,,,0.06999969482421875
1987-07-23,F2,Bollinger Band breach (control),TNX,20,1987-08-20,ready,,,,,,,,0.17999935150146484
1987-07-24,F1,RSI extreme (control),TNX,1,1987-07-27,ready,,,,,,,,0.020000457763671875
1987-07-24,F1,RSI extreme (control),TNX,5,1987-07-31,ready,,,,,,,,0.07999992370605469
1987-07-24,F1,RSI extreme (control),TNX,10,1987-08-07,ready,,,,,,,,0.11999988555908203
1987-07-24,F1,RSI extreme (control),TNX,15,1987-08-14,ready,,,,,,,,0.0
1987-07-24,F1,RSI extreme (control),TNX,20,1987-08-21,ready,,,,,,,,0.1900005340576172
1987-07-24,F2,Bollinger Band breach (control),TNX,1,1987-07-27,ready,,,,,,,,0.020000457763671875
1987-07-24,F2,Bollinger Band breach (control),TNX,5,1987-07-31,ready,,,,,,,,0.07999992370605469
1987-07-24,F2,Bollinger Band breach (control),TNX,10,1987-08-07,ready,,,,,,,,0.11999988555908203
1987-07-24,F2,Bollinger Band breach (control),TNX,15,1987-08-14,ready,,,,,,,,0.0
1987-07-24,F2,Bollinger Band breach (control),TNX,20,1987-08-21,ready,,,,,,,,0.1900005340576172
1987-07-27,F1,RSI extreme (control),TNX,1,1987-07-28,ready,,,,,,,,0.01999950408935547
1987-07-27,F1,RSI extreme (control),TNX,5,1987-08-03,ready,,,,,,,,0.21000003814697266
1987-07-27,F1,RSI extreme (control),TNX,10,1987-08-10,ready,,,,,,,,0.1399993896484375
1987-07-27,F1,RSI extreme (control),TNX,15,1987-08-17,ready,,,,,,,,-0.039999961853027344
1987-07-27,F1,RSI extreme (control),TNX,20,1987-08-24,ready,,,,,,,,0.17999935150146484
